"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"C1";"10uF";"10UF-6.3V-20%(1206)";"1206";"CAP-10057";"";"";"";"";"CAP-10057";"10uF";
"C2";"10uF";"10UF-6.3V-20%(1206)";"1206";"CAP-10057";"";"";"";"";"CAP-10057";"10uF";
"C3";"0.1uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C4";"470uF/25V";"CPOL-EUE5-8.5";"E5-8,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"C5";"0.1uF";"1.0UF50V10%(1206)";"1206";"CAP-09822";"";"";"";"";"CAP-09822";"1.0uF";
"C6";"18pF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C7";"18pF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C8";"1uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"CN1";"";"AK300/5";"AK300/5";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"CN2";"";"AK300/2";"AK300/2";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"CN4";"22-23-2081";"22-23-2081";"22-23-2081";".100" (2.54mm) Center Header - 8 Pin";"MOLEX";"22-23-2081";"1756826";"01C7592";"";"";
"D1";"";"SUPPRESSOR-SMBJ";"SMBJ";"Suppressor diode";"";"";"";"";"";"";
"H1";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";
"H2";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";
"H3";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";
"H4";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";
"IC1";"";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"";"VREG-08170";"";
"ICSPPORT";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";"";"";"";
"IR_RX";"IR_RX";"22-23-2031";"22-23-2031";".100" (2.54mm) Center Header - 3 Pin";"MOLEX";"22-23-2031";"1462950";"30C0862";"";"";
"LED1";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"";
"LED2";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"";
"LED3";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"";
"LED4";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"";
"LED5";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"";
"MOV300";"S05K300";"S05K300";"S05K300";"VARISTOR";"";"";"";"";"";"";
"Q1";"16MHZ";"CRYSTALHC49UP";"HC49UP";"CRYSTAL";"";"";"unknown";"unknown";"";"";
"R1";"1k";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";
